w,age,a,z
4727.962149156599,41,3.1800001,-.96550196
2871.994802445728,21,0,-.30349523
11815.26899745257,25,1.28,-.48236063
3203.920902281026,33,196.28,-.74812603
2566.0063935453,27,0,-.37329626
3806.797904272522,32,0,-.69979429
3763.066365453931,44,0,-.68378997
5458.960175059669,45,0,-.54655153
9959.636304009009,38,0,-.37109601
10888.22267787704,39,14,-.26911587
1068.639129522759,41,4.125,.1022309
1710.831463779598,42,11.72,-.37303278
2284.733025427921,43,6.5999999,.16502054
1489.272388927688,32,7.7750001,-.36959022
2097.271618017105,33,1.818,-.3822017
2416.122025094493,34,2.73,-.42869639
1898.59429518697,27,0,-.82861835
1294.949969306587,33,0,-.78322017
2068.328076859594,34,18.66,-.80820507
2664.290047310184,35,0,-.018141486
2413.121842482894,36,45.200001,-.58582151
1324.82070380809,42,2.8150001,-.74573451
2012.923088905833,44,0,-.33847111
1383.018471641932,43,10.4,-1.0452102
2152.80618146292,44,262.42999,.31103098
2224.61780291759,45,90,-.86058742
2971.796607255971,45,92.580002,-1.0484439
2907.244681535743,23,0,-.75096524
5134.784298735974,25,0,-.70092636
2642.277626109731,25,5.5500002,-.54811072
3839.373878341688,26,41.970001,-.5583083
2752.82668647017,27,138.64999,-.12950683
6242.897657681934,28,35,-.29220474
2751.044957283702,25,0,-.6904636
2700.657715353589,23,19,-.12324711
1752.121068231378,22,50.200001,-.23679183
3561.7644909082,45,0,-.32845035
7086.395193819252,36,6.5100002,-.86583066
18970.22038282192,21,0,-.76347131
4462.169031184009,44,3.6400001,-.714302
5837.689512016904,45,0,-.64968628
4753.310151599825,22,1.461,-.78844374
5287.773770085317,21,0,-.76070982
2245.936053833069,22,4.1500001,-.60492724
2940.567712865019,24,3.0450001,-.57707822
1613.999265458214,22,4.23,-.12387725
5094.567861881156,45,43.599998,-.38306186
9060.959803716338,24,0,-.63952887
13698.52452616702,22,0,-.68481165
18043.48163647782,23,0,-.59059542
4440.064361084861,21,12.41,-.33885175
8464.785246375157,23,25.757999,-.33102641
2928.063783155661,34,1.86,-.79740298
5418.480410401955,36,35.099998,-.8550632
2337.509336231957,27,70.5,-.68391329
3717.965699603652,28,58.900002,-.59081894
5903.106269932817,29,76.5,-.72982252
6837.950557431301,30,119.5,-.69628263
16456.29404307805,30,11.25,-.26078355
7067.487451841735,21,4.1999998,-.8520506
4069.580536037665,25,6.6799998,-.58326703
9447.120577344516,28,23.629999,-.48722306
1746.296219605655,33,68.400002,.12701932
