w,age,z,a
5731.39166667904,40,-.45352301,0
7327.730480273614,41,-.3775185,0
3883.271155276381,30,.5262242,0
5227.636991086846,31,.43454501,1.6479565
3316.28081748096,36,-.39012903,.20187467
3152.369869411791,38,-.39630231,0
4113.762968774381,39,-.820135,4.284687
4064.738681301383,40,-.72718823,0
3394.113234796383,40,-.41676268,3.7058423
2940.8601430514,23,-.26338705,0
3977.061918068033,24,-.44623232,0
2369.773507841528,25,-.16809502,5.7329111
3412.736441709626,34,.11271553,6.3483405
5913.685435896569,35,.12591302,0
5970.791942610233,37,.016209656,.82397825
2352.36110612713,45,.2516678,3.182204
14943.38468234853,33,.84843391,0
2900.65389243997,43,-.16213967,0
3737.94285591152,44,-.08563751,0
3917.034121975581,45,-.34213606,2.9663217
3870.124455369488,46,-.61193424,0
4855.790832904567,45,-.23776299,.62004364
5199.516072792127,30,.089930348,.44494826
7380.777038389541,31,.18052004,0
5357.838164451016,33,-.09614832,5.0371027
5999.449778328724,33,-.31908709,0
9742.227338425724,29,.48412925,0
13320.83689490606,24,.10289396,.81573844
7755.715679999617,28,-.4003368,0
3145.701076286071,25,-.25260362,0
2269.230308681006,34,-.54519558,0
2888.913726540179,35,-.53145164,.20599456
3627.457869523033,37,-.28322524,0
3574.428224143498,37,-.10862207,.3295913
2894.971346807452,28,-.29163113,4.511281
3411.802846400515,29,.31772661,2.1011446
3443.786531735865,31,-.5662691,0
4443.94854224597,36,.58954507,6.8348994
9343.008854780732,38,.27696657,237.36754
932.304582288898,25,-.41503653,0
4957.962958128046,24,.018835491,.26655695
7524.415889319677,25,-.2249939,.74075645
12849.71570975082,26,-.20823938,.67978203
12109.83281759139,27,-.27497166,.32341146
4915.333613523699,29,-.35299388,0
6827.44435611019,23,.37994194,6.5200577
9862.235818410192,24,.45868024,5.5985203
12308.60318331244,25,.33923861,5.3554468
4967.638139008459,23,-.081480049,0
2610.200143932423,34,-.15435576,4.4751906
3139.44862085015,35,.10169084,11.188183
3581.497940305433,25,.025668235,0
4204.523086256869,26,-.085088268,.22782998
8991.112286008092,27,.2422331,0
3470.828147230372,29,-.18399595,0
4970.45239054918,30,-.30450827,.20599456
3144.335863798839,28,-.13823245,3.9031849
6628.996363349088,23,.52525091,.5083946
8431.600026479449,27,-.19619414,0
3111.45015579812,23,-.72674966,0
2406.075322085869,23,-.19996312,0
2221.122500458767,38,.36538142,12.096413
2715.348101318576,38,-.22122732,11.827796
3631.229317797306,43,-.25532201,2.4632831
4088.441485268359,44,-.175188,2.2144415
5169.029530315032,45,-.70514286,2.1390476
5458.216866740137,28,-.56270874,0
4501.257708505309,29,.25808525,0
8487.968591856219,31,.34161454,5.4320765
2917.373145393469,23,.57327247,6.3112612
4581.717259964976,24,.1347212,0
6921.480350161098,25,-.35763955,0
7839.530652778452,27,-.61716479,0
10186.27878529004,27,-.34973547,.35266268
4565.315280067942,39,-.65523046,0
3102.572799388847,23,.55519438,0
4856.723752976543,24,.59749085,.55618531
6992.178372730966,25,.40807095,1.0299728
2266.419613240693,44,.53397411,2.4863544
2448.669198165949,45,-.51389533,2.6235468
3291.455924650232,46,-.5211587,2.9642618
4125.117136165252,47,-.4222742,2.4521592
5568.89479945855,46,-.68653518,.48532319
4463.973486303439,28,.55475378,8.9805393
6331.310702812581,23,.22154866,0
