w,age,z,a
19320.42753203626,42,-.31602305,11.444046
6897.485563090599,25,.55937314,6.7229233
8140.961810532969,26,.48129109,7.4566379
4373.964817732304,27,.72290653,8.7135563
3588.179713607436,28,.7035287,7.370647
6877.002845346324,25,.2601988,.30990219
8140.961810532971,26,.18326835,.4201827
6917.436329149674,24,.046493459,1.3197366
8423.357231943564,25,.51561141,.41850755
5427.777440965845,23,.43624309,.33335426
4060.073670527132,23,.29658696,1.4434183
3697.701730539382,25,.91806692,.78173524
6273.788159000368,23,-.72659492,0
7234.356827140021,38,.0992544,10.506243
9270.57493877989,39,.033111695,9.2440195
10227.97335589573,41,-.034185488,8.1102238
6843.87980681612,24,-.033935856,0
8869.345478084781,25,.358897,0
5019.742110843798,32,-.16470869,5.7340283
6891.349482067827,33,-.2001694,5.9015427
7171.666454184401,34,-.082654774,8.183651
8402.792300771916,35,-.22272529,7.9159069
2085.606895758466,44,-.5142138,0
3962.726055811405,33,-.29278442,11.679711
5085.746886111888,34,-.94822252,11.111892
2412.246601617554,35,-.61658615,12.434616
2728.075617120679,36,-.80056798,11.448234
4730.462672116335,26,-.90520847,0
3714.783979916139,29,-.0059453482,3.0431838
5983.944037139754,30,.091720715,2.8053129
9170.744117855356,31,-.3887403,3.2162821
8700.293351355422,32,.1260135,8.1211128
5633.857980403467,25,.89930761,.42995438
9061.29308854746,26,.69014341,0
3730.304875535774,24,.013528603,0
6031.981616524284,25,-.62462914,0
10158.06393842125,26,-.73259801,0
11459.34969334249,27,-.24089743,0
8172.622957584702,46,-.067189552,3126.345
6739.555107165173,43,-.51522422,3.7272019
6503.27527943624,44,-.67264968,3.8318987
11031.46507704989,45,-.096882775,.70007187
25844.28237628437,24,.24776493,0
9546.427788932033,30,-.40471548,0
16900.76678276627,32,-.12735181,6.7530761
8933.782944180051,41,-.6107015,8.4097967
11999.54919228758,42,-.23295462,1.082145
17674.61146262911,43,.186781,1.6500198
8964.666877279622,24,.10417837,2.0939338
11151.59240915893,25,-.12286564,2.9873455
11967.4454246752,26,-.364326,5.5251932
4246.946618904705,42,-1.5750413,.31841752
5988.654510842548,42,-.72607023,.33293545
3969.805876502234,45,.59502149,22.131763
6097.773070661141,46,.26597607,33.826801
3818.583542600504,38,-1.2419505,0
3404.698196849871,36,-1.2698554,0
3038.600433998221,37,-.95027471,0
6370.112651726361,25,-.10505268,0
3369.667431867607,34,.1584046,5.2016106
4804.394060481528,35,.17562942,6.5029206
5408.085735782215,36,.090875469,7.401916
6072.676361005881,37,.14180563,8.1678495
5229.819405017653,26,-.51600087,1.4154992
6742.510306646848,24,.24620193,0
8422.360586910974,26,-.90297824,.21721072
8969.308716725913,27,-.2201661,.20847204
10973.12342628423,28,-.29176858,0
10312.76237693324,42,.10574085,13.903162
16283.51661215297,43,-.41786754,14.221998
6439.170123159224,28,-.058895338,3.0152645
6439.170123159226,27,-.20245877,2.8868365
6910.309171729178,34,-.55518615,18.417124
11109.37305190072,35,-.12435377,8.336648
20863.25898540886,25,1.0645924,1.1530595
17551.44590562271,27,-.11879048,.30389959
17959.66342110631,25,-.17002706,.30389959
19817.49483563207,24,-.16559634,.30389959
7255.745344086394,30,-.80866611,0
2501.910719766682,28,-.14676911,.24010441
7452.69566026563,24,.062575907,.25141165
10420.90001987958,25,-.0092854984,0
15951.93739740058,26,.52164501,2.625793
7748.05691079651,27,-.035970148,.40231445
9025.316788251186,28,-.74935257,0
12342.13652487408,29,-1.4297631,.36294851
14607.0108377868,30,-.55190897,0
26004.59143356254,31,.011977575,.27919117
11769.57905113867,31,-.65322906,4.2046189
16732.19651419923,32,-.60186243,5.0449843
8934.197146190712,29,.70759916,0
12447.40803140216,30,.93279439,5.3325515
4403.711584075392,25,.38057074,0
8098.328091919606,23,-.2263255,0
7444.279920125143,30,-.12927446,3.824919
7533.565869940266,31,.18307407,8.2135248
10006.55382214018,33,.2543641,9.1638918
12742.07168264975,28,.5707857,1.2284411
8964.666877279622,25,-.6634388,1.1893544
13528.12691483418,25,.35457519,0
14953.21356320114,30,.20545647,12.444946
6664.368218198499,42,-.019512683,14.685455
4067.935106994381,43,.52672338,16.193087
7514.460836733731,45,-1.3310986,34.462799
6697.317855512606,29,.071368627,7.3815351
8725.674908912684,30,-.037151124,8.4611673
12518.9628405436,31,-.016205937,9.0368595
13633.53921702449,32,.16425021,8.9528227
3477.053459829508,27,-1.018072,17.589043
3948.358563870133,25,-.042917859,1.2144816
4130.864345160535,23,-.29492626,2.3228705
8953.538025941647,42,-.92052048,.40203527
8622.97803667142,38,.47604463,0
9699.413216098441,27,-1.3472055,4.077168
12840.56693750505,27,.13533109,0
16238.18735116858,24,-.17896976,2.6746514
6400.652416202932,27,-.42633691,0
8805.559075453155,28,-.3410067,0
9092.020216840734,38,1.0344,15.420845
2408.25992660052,34,.12933733,6.7480507
3522.126284105965,35,.23114352,6.0612402
2498.310948967031,45,1.0847375,23.33061
3837.500799956425,46,.72647178,25.132509
5543.462513033236,47,.070486009,26.394733
4799.543601433726,47,.64170349,40.290077
3224.684060450974,33,-1.6188701,2.3089108
7212.550207002129,36,.32873544,1.1307242
11048.33270720753,26,.028462246,.3852838
6339.636269611053,31,-.97705954,.9855448
5201.838574850973,24,-.17248151,5.1985393
4665.204285306951,31,.12114909,4.3059654
7177.623911483158,32,.26002821,4.699625
4908.747178982997,44,-.48838481,4.6597004
7943.284395017704,45,-.80053347,0
12205.98632640319,46,.29784617,1.4099153
5224.235695671953,38,.19137293,15.578309
8255.599533610339,39,.26440969,13.824988
10458.05799804975,40,.27951092,13.943645
5047.470897856397,26,.16741501,9.6935177
6434.927339869458,29,.11797801,4.6982288
3585.820317610621,30,.065853789,6.8711739
5003.295601352768,29,-1.1023568,.71752131
8186.690684524526,30,-1.2610863,1.4378345
9721.984326937898,31,-1.1816957,.32106984
12017.33514722862,32,-1.0041406,.22893676
5449.586788125057,24,.53715879,0
5615.748488745616,45,-.053583559,8.9201574
5341.004039432372,46,-.041758128,10.944294
7444.770190247861,47,.24981843,11.25978
4936.731659956136,25,.90942007,4.6982288
7025.479527425231,32,.13329925,1.9233479
1800.233505316128,23,.15261288,0
8063.175187475575,25,-.75647676,0
10878.52420865024,30,.074918576,6.6173892
4676.366069950514,39,-.36437926,5.2575884
5144.477129257905,40,-.40756533,4.1507349
6522.531228712101,41,-.49467969,4.226675
7290.231092623511,42,-.47596818,4.6125174
7325.543799653325,32,.80853832,5.343719
4849.308591384091,27,-.078577004,.46429491
5624.26663276389,24,.29940543,6.474164
6312.14358632337,31,.4106825,5.2758756
7118.694733863129,32,.20327605,5.5129089
3497.965462962518,30,-1.2104009,0
2227.057442595479,33,-.16649675,2.52668
2816.837540109022,34,-.36733902,2.5654876
3553.446215314723,35,-.30124995,2.6428235
7649.959500776069,29,-.23710786,5.2376261
3504.935199319258,24,-.085609615,0
3281.42439203783,29,-.35687771,4.9207444
2846.550491891299,45,-.093844861,3.7969999
2320.422141170702,24,.45464927,.31827793
2611.862389642394,25,.22031204,.93808234
3552.852300896697,26,.24510612,1.8951496
5476.257595141426,47,-.66724145,3.0855091
4014.934037794802,46,-.6240679,6.7967691
3722.576991902146,47,-.19411643,7.3365855
7870.643132056676,23,-.2365998,0
4698.893703381754,36,-.24106538,2.5964777
8062.337165298361,37,-.39476192,.54442275
10054.86139410769,38,-1.1030642,.20715985
2196.559786342673,27,.14368111,5.1036143
5912.362562165154,36,1.0050215,37.029125
6255.444170879044,37,1.1390332,44.473476
7372.648878394797,38,.95370853,49.782578
7676.206071250771,39,.91268504,41.182095
6261.16373057387,33,-.47326636,5.9970264
6959.202864912514,34,-.50312269,2.084162
12106.68999609577,36,-.40278038,4.5857148
8917.183431866511,36,-.50614727,3.7621009
2926.47527187766,34,-.19696927,5.7417059
4093.424848787527,35,-.29109475,6.1445789
4724.292577589887,36,-.33964962,6.3186545
5938.363838631168,37,-.17093971,7.3985658
7160.519709006979,24,-.46707797,0
6249.428970390717,23,-.30014476,0
6665.890845194387,24,-.48981535,0
2501.081319768833,28,.55889004,3.0445797
2281.281602184554,26,.12245476,4.7630014
2646.205728319113,27,.078125827,3.7523293
5407.40475706104,28,.40455124,5.1650367
2357.186082975699,25,.0082777124,0
2701.827204305675,26,1.3628689,.43693417
6744.489808682015,24,-.12641232,2.0241358
7465.644280167945,25,-.29389602,6.2455063
5191.714865847775,26,.38005507,23.100277
6405.073651604921,26,.53891689,20.576389
5045.126333646779,25,1.1776751,7.5094328
5191.484393825395,28,-.83779931,0
4385.167710692207,25,-.11648353,4.7602096
6406.833344906351,26,-.17200337,4.0075102
6824.539930977277,27,-.093645543,4.3330469
6198.779232321674,25,.33001602,0
6969.243726944132,26,-.038591672,.80127865
9041.759435764459,27,.10680994,.44670588
9216.126989692068,28,.050697055,1.3680367
10211.20669493942,23,-.2247223,0
7215.798737611723,25,.58385503,.87573892
3469.769422859065,30,-.74115574,0
3529.105662964945,28,-.33677462,.77615142
4558.911918606499,29,-.1415873,0
5290.161785161331,39,-.34234113,.94087422
7496.953573610846,40,-.49546987,19.779299
13763.62343499003,42,-.19909754,11.609327
4957.962958128046,24,.40849641,.33502939
10344.90327599215,29,-.018962458,5.4029355
3005.723296522259,24,-.13393581,0
4946.793118101889,29,.27976927,14.333116
7106.307201757671,29,.22092666,7.3999619
8658.700033258725,31,.78024411,8.7998266
10930.43947626542,32,.25035879,15.258355
10067.0100388777,24,.19191767,1.549511
7942.771007672031,23,-.23490721,0
6996.30270748711,24,-.30648962,0
7496.234680833723,25,-.59898001,5.7150431
3391.175700325953,27,-.5411815,5.5363607
4103.644341055021,28,-.6349538,5.6257019
5644.948906781373,34,-.015772063,7.7254987
9916.795245779331,37,-.02571483,7.6545839
8187.297407088091,37,-.093699209,7.4499369
1321.628055472075,23,-.4866544,0
2962.544516600322,36,-1.2581171,0
5356.689107872923,45,-.46003482,6.5380988
3612.142234928435,43,.24500978,22.482706
5123.181999772117,44,.026068853,18.669233
4148.742805956947,43,.8645336,21.857876
4672.046537533576,44,.712605,7.1626492
5159.299757180574,40,.36432183,25.079184
6936.023265484274,41,.16347952,20.145039
9463.876207537798,42,.43676794,25.756222
12984.73169204324,43,.48116621,28.881767
9459.269328710339,30,.16945465,3.9303136
15000.7834331787,31,-.026648326,13.045486
6233.391693332542,23,-.46469793,11.050526
10586.9253668731,24,-.63697684,3.1348979
11778.94245940117,25,-.57643974,1.7494118
10773.589694357,26,-.68031681,1.7868235
10082.11879965852,24,.064713717,0
3637.58039985788,31,.62474233,6.7368827
5300.087086520734,32,-.063553691,5.2990484
5749.136818706073,34,.45451909,3.3807259
9286.686203701105,35,-.5610432,4.4743176
4803.447025548677,27,-.20783964,0
5799.913293810965,28,-.087219521,0
4127.596065823762,36,-.57482898,2.5428731
7147.161861521367,39,-.42464176,2.6651869
8595.302834497345,25,-.12715943,0
16404.13497144616,27,-.33484289,0
4231.794116206008,32,-.25625795,.22335294
6101.293966373302,33,-.2555117,.70160741
5655.570463198947,27,.72637707,.57234186
3904.879931775219,32,-.19587561,8.6867542
4831.08881695278,35,.43876234,.59244365
7368.966628620253,36,-.15997262,1.2528703
6494.789290303413,38,.34532925,1.0465481
14242.30139282461,39,.30214497,2.9608223
7136.983743051213,47,-.30313724,1.7674197
5505.903296674577,24,-.15650761,.27919117
3783.791279800226,23,.020519985,0
5795.637973280097,23,-.63802087,0
3259.433689122967,24,-.27759907,0
4118.281317370156,24,-.2284801,0
6247.139550391877,34,-.25207159,1.5196375
8206.145324392795,35,.032119323,9.6404705
10331.29818773832,37,-.030020682,10.885664
7096.479962436018,30,.055452585,3.7674055
9642.419277137813,31,.14367913,4.526247
14114.86144997576,26,-.2990419,8.8391924
6341.697529032511,28,.20237678,9.4405699
7786.644519969079,29,.66030806,10.661892
8900.168643294997,30,.0056611113,11.510493
8979.458843091074,31,-.17246176,14.060625
7507.098795192889,23,.81435639,.67005879
25489.37205703782,25,.11180021,.42102027
17527.50939200287,26,-.55007267,.90988404
5801.35848935245,25,.37148198,3.2559273
9221.70798273557,27,.41058928,2.825973
5119.936245688871,40,-.42047793,17.93524
5703.559279112514,32,1.3268777,.58630145
7476.108141010644,33,.12729549,0
6503.265910834991,23,-.37264809,0
8942.906200558706,25,-.51998365,0
10835.82157883037,25,-.13614719,.20939337
3255.642402664509,25,-.48294297,0
5249.046946607767,32,-.87027353,1.3177823
8538.831385543883,35,-1.1112287,.76777571
2741.473269767773,36,-.8156358,0
2151.019503088401,34,-1.0686493,2.0129683
11211.22942326492,26,.79948056,10.413272
11136.96757246536,27,.74223566,1.9976128
2794.057642193084,29,-.41008508,3.9508343
3276.421482793633,30,-.83439773,3.0180564
2855.187447479688,38,-.38042563,2.3591654
3934.736473369789,39,-.065552555,6.3934774
4279.146425785999,40,-.078402087,5.6148133
5466.73570475061,41,-.079740115,6.3876147
4900.080934963074,31,-.46951625,1.7449448
6724.788004476036,32,-.33017528,2.6299808
9191.361126163507,33,-.34808135,1.9752775
9855.074104762831,34,-.46214387,2.4596741
9709.360345305675,26,-.52007312,13.546355
5547.523153954615,30,-.18776494,4.1853547
8982.436460996207,34,.15748629,4.0231447
11007.48201664542,34,-.30595264,4.1049199
14051.41849391346,36,.30966941,4.3330469
19189.62566126274,36,-.38054621,4.9277239
4626.197605016172,30,-.41872084,3.0412292
6763.92758663294,31,-.41016951,4.2531981
8491.794890767671,32,-.35204762,2.8410492
9531.405448530257,33,-.41059306,2.8820903
5290.377368515409,32,-.71378589,2.4292424
9651.023696659908,34,-.94833851,8.5245438
5099.21358810506,27,-.5862202,4.8272152
5561.266204197769,23,.4329617,.22502808
4891.012829915244,24,-.48697862,.30459756
4986.639890141859,31,.45950559,3.9212399
9154.218738474092,33,-.13992786,3.2765875
4974.044882521404,23,-.28532636,2.0408874
9265.708440838844,34,-1.0361266,0
13992.45359376896,35,-.49092147,0
8374.484018247807,34,-1.0435889,0
12435.29155631313,35,-.47319672,0
4108.954881119404,24,.70662588,.51091981
5422.524885153077,25,.40987581,6.9630275
4583.817282092706,29,-.59398448,1.0765611
6704.289582408081,30,-.76914197,.42104819
9237.27132965318,31,-.86835235,.53353429
10705.39288014245,32,-.43909404,.65414488
4209.671616952374,28,.78316581,1.4950687
7581.198331944314,25,.25715831,0
12660.96696795324,26,.41833913,0
2722.455255952203,34,-.26165879,.75939995
2769.751740058761,27,-.93250883,1.9627138
1208.317758140341,27,-.21264321,.39086762
1678.823576314675,28,-.31836933,.29315072
1451.553626220382,29,-.23062354,0
5993.479556251153,31,-.19870569,.7803393
9499.843493470864,34,-.1430054,0
5815.357730672821,47,.32903817,12.759873
7149.250990984406,43,-.58264619,4.8824949
9806.315467535385,44,-.4336127,5.3400893
10120.75781500241,45,-.53939229,5.2105446
3057.794072918293,27,.70837218,3.2229829
4123.185113401177,28,.49550751,6.0855298
5496.840632002964,29,.45823947,7.242219
6072.743517396489,30,.2331098,5.3604703
4949.832810998,30,.10684931,5.8937254
12962.92109467681,30,-1.0929245,0
6334.068195143213,41,-.65625441,1.1028051
5071.593889388129,33,.030820645,5.9774828
14923.28020133964,34,.17271256,8.3713236
24336.40277814915,35,-.14222986,8.116087
6539.692236001802,37,-1.3063167,0
8333.044012487797,38,-1.0507175,0
9787.454034509748,39,-1.1407324,1.4018189
9480.360825711374,29,-.1716489,7.4301143
16676.11945818609,31,.5694654,3.6266932
17737.97984389352,32,.6533277,5.6410575
5915.694283570951,25,-.30226323,7.5468163
8674.250413436355,26,-.37127531,0
5494.021009289253,27,.26749372,1.3959558
5376.131234038623,31,-.44266701,.27919117
2026.954472493524,42,-.51741856,5.581171
2361.206885739185,43,-1.1216831,5.5299392
2480.852572237483,44,-.94275832,3.0060513
5034.550378570994,37,-.28803515,6.2120032
8543.501639265432,38,-.57388562,2.336551
6947.244622129016,39,-.3119213,4.0252385
1567.158594265301,40,-.61405754,2.4494836
2049.39928932973,41,-.80934227,6.2033763
7360.001392880757,24,.36638474,0
3538.903796960235,27,.26180649,1.7337772
4941.44364375978,27,.39855096,1.7561125
9880.708101895323,34,-.59582734,6.8112874
4312.872139119623,42,-.017919848,8.0362387
6288.914201885721,43,.22051977,8.3254805
8531.382932845747,44,.033961233,4.0063934
2964.411546144301,24,.50286853,4.3972607
2079.618338715114,25,.85042667,11.384857
2079.072033577907,26,.94852018,4.9137645
6162.776840874592,43,.18603133,6.4445696
7017.169074588978,27,-.57227963,0
10914.50796367085,28,.54904729,4.0390587
4575.762534876015,30,-.86931765,0
7061.834760440009,31,-1.3204976,0
8816.72390386249,32,-.58747023,0
14497.33152450201,33,-.58148485,0
4347.34578288638,29,-.67967713,.4676452
4347.34578288638,29,-.090989217,5.343719
6057.486731261189,30,.24723977,3.0420671
4347.34578288638,26,-.52267873,.73427278
4347.345782886379,26,-.52267873,.47183308
6057.486731261189,27,.64042008,0
3548.067518559133,24,-.0053452915,.2373125
5007.111275156759,29,.62591445,11.102874
6238.048946981707,29,.74205655,12.153192
7445.415931967731,31,.58866197,12.066642
8939.802210239583,31,.76368022,12.451926
5169.437705267079,37,.029340791,2.3130989
4974.044882521404,25,-.49575272,0
5585.29879869661,26,-.50652581,.21218528
6274.774847470303,27,-.82816809,0
6784.714429917012,28,-.99271113,0
5529.81386171105,35,-.85148948,.70635366
5758.843210024228,37,-1.0817537,0
6291.191815632205,38,-1.1446233,0
3343.989773979362,31,-.86553228,.40206319
4414.906925286979,32,.41484398,.6010986
6673.46903663437,33,-.10205142,10.921177
7791.515834425099,34,-.57716334,2.3842926
8606.205016924901,44,.36874831,37.132423
1763.436401834612,24,-.20264135,2.8728771
2714.017259009149,25,-.38876653,4.1069021
2783.009835268469,25,.46728939,2.9823201
4024.252136385721,30,-.24147069,5.62291
5563.590004967119,31,-.20164409,6.1983232
7229.315890719095,32,-.03801864,5.6438494
10170.971445901,33,-.053978246,7.0237517
3169.31431303071,35,-.34988806,0
4567.998544316887,36,-.96341377,0
6298.95441539402,37,-.70701903,0
2718.8714068804,28,-.3777445,0
