w,age,a,z
4269.091219958974,39,.56854498,.32673389
4817.916838103809,40,.3596665,-.27932259
5158.553305412789,35,0,-.39350381
6404.452366179244,21,0,-.68447852
1183.476763100587,32,0,-.93911332
2666.722133477063,34,0,-.82118249
2755.638184418847,35,0,-.77840352
4496.087741094077,26,0,-.67779046
8013.060814701021,22,0,-.55859667
3409.461987491133,43,0,-.69178754
4575.952984763211,44,0,-.67962027
5741.165328141949,45,0,-.72699445
3520.437317147843,27,0,-1.0771102
3712.993966445325,21,0,-.90164912
3713.630490329012,22,0,-.95717466
12156.49488831908,25,0,-.79747856
9918.566852907506,21,0,-1.1383588
2002.596037551732,41,0,-.7997148
1276.690800556823,24,0,-.81880426
5182.266471477123,21,0,-.83870608
7484.997708095357,23,0,-.50514525
1497.210997771971,23,0,-.5169912
2546.676237024314,24,2.5353811,-.55740523
1199.409992527781,23,0,-.72418112
4352.857709957344,28,0,-.70596719
3526.511158660245,30,0,-.96769226
2366.893088650457,37,2.5502126,-.58865076
2492.809219547722,40,0,-.70855099
4234.649868837476,40,0,-.66049922
4510.217239137172,26,8.798028,-.48318446
0,23,3.2308187,-.88427323
2397.020476009333,37,1.4967564,-.11049037
4479.990675063571,27,.58461255,-.92916512
1509.862741003258,29,0,-1.0443249
1229.621376705001,25,0,-.4141202
7884.076203839381,28,0,-.38512182
6733.144970086182,22,0,-.38852173
5424.09789881206,24,0,-.65865296
5122.743148303957,26,.70038152,-1.039835
2790.410091925034,21,0,-.88343102
2337.948747751414,22,0,-.74908847
3527.159124542797,24,0,-.73132765
2067.5315869433,37,0,-.78900528
2966.719374127285,38,0,-.97924489
2857.422233869794,39,0,-.77025062
3570.544549670008,40,0,-.8216728
1948.155832377019,34,.73746055,-.67467374
5658.773419702759,24,0,-.29085591
3316.760455327671,23,1.0505723,-.42237142
4205.05430075916,24,.53661585,-.28159815
4643.689823543534,32,0,-.59959781
6420.704235080669,33,.4095172,-.65770596
7796.743014029825,37,.33947903,-.027933946
10718.72507402227,38,1.2153679,-.048988633
1798.1797521817,40,0,-.048965931
2751.798557729752,41,0,-.19390871
3201.425394165626,21,0,-.62299907
5284.648925074356,27,0,-.53265464
4515.563848459728,21,.54794556,-.45995519
2543.927364572061,26,0,-.80907029
3757.270781170457,30,.66280812,-.94993848
2311.516177340616,27,0,-.97135091
2872.820777715884,36,2.3079631,.12631956
4855.450827710484,37,1.7241745,-.27502832
6104.154430850499,38,3.1249375,.07756573
10014.67480011803,39,2.8110018,-.22587131
10349.02401664029,36,.21423434,-.048204858
11797.48445797266,37,1.8621908,-.6727131
18775.70371273186,38,.41198912,.012529266
7660.723022785216,21,.74512351,-.485616
10589.35181449232,22,.68390197,-.26957622
16193.92815182237,24,1.1257603,-.52162033
3449.57130480466,22,2.1688344,-.90320605
1345.803955195984,37,0,-.39286917
5755.49331710449,26,.227006,-.68584663
5292.36815783042,23,0,-.77407515
4225.304512449847,26,0,-.8783223
4121.242520164006,26,0,-.98122996
14583.35488674125,41,.48037931,-.35079345
4683.527888729772,45,0,-.045043238
2242.104189233477,34,0,-.28017348
5210.489297411245,43,13.935532,-.18432671
6562.218840732691,21,.22371009,-.82259929
3167.802236056834,22,.85879135,-.63337415
13321.00826446595,22,0,-.76500756
15445.99685934859,23,0,-.95822304
6733.270885763785,32,0,-.96598369
3426.138337461193,26,.53970575,-.57372946
4569.119250371114,31,0,-.34196064
4261.437945528803,32,8.0502672,-.24268498
3104.847833495267,42,4.2187686,-.47003889
2775.054878845498,43,3.0219815,-.51307589
5223.475021928383,44,5.4568372,-.62315953
5584.027421677267,45,3.3618724,-.88954955
3533.358794565859,38,2.1399539,-.305695
5861.535905972105,21,0,-.24922884
3907.735330256481,23,0,-.52111173
4503.534983116805,23,1.1618093,-.74413443
1974.971688224498,29,.36749429,-.40383232
3094.314144721929,36,2.3714094,-.4404076
8106.725385353209,23,.37655807,-.67872131
6906.033264744307,26,0,-.47793606
14954.78350893222,26,.55577332,-.80775315
8141.403639056606,23,0,-.73405981
6188.643640574985,24,.24121962,-.64211202
2297.419155156201,29,1.6479565,-.72418988
10906.01509222047,21,0,-1.3132272
5911.05741595904,22,5.5680332,-.46229753
5745.678391147467,25,0,-.73110849
14813.91525945591,27,.24958301,-1.0650829
4199.565156803551,40,0,-.74458534
4230.550238835366,41,0,-1.0755626
4496.869932929896,36,0,-.52960581
6219.453167826082,37,0,-1.2832713
7864.719097140981,25,0,-.80543679
15578.64598909288,26,0,-1.0457754
5360.677572477401,38,2.1155641,-.46563703
7716.174574253079,24,0,-.85013688
14810.11682013542,24,.63034338,-.11726835
7754.080534016462,31,7.0038152,-1.0697826
5866.073229895333,33,0,-.91583681
6631.411726249105,34,0,-.91734064
13918.54424915957,22,.82397825,-.2725181
12768.22793630619,28,.32229909,-.61868829
17817.89726821487,29,4.2272558,-.91149825
22510.22840255426,31,1.8621908,.06649252
5067.979523015512,43,.2726132,-.36929631
5983.169025393124,44,0,-.72988582
8436.554700039916,21,0,-.7240693
12240.10691707466,42,9.0925999,-1.1037626
28548.47941331188,44,4.9459295,-.15017635
15493.52886392835,24,.30837387,-.55424863
2001.52777885249,27,0,-1.0774499
19433.94790615544,31,0,-1.4074267
10147.72845156691,30,0,-.413616
10608.95600441322,39,0,-.83295137
15694.85612387737,33,0,-1.0126991
8987.772147796773,36,1.2359674,-.24968807
4203.473413186494,28,.22659402,-.66537791
14899.44834909459,21,0,-.77740622
8197.522076501424,24,0,-1.0094649
1686.722236920541,43,0,-1.1309235
2255.721125241913,44,0,-.75832754
2128.040292796649,25,0,-1.2183987
2652.181463920445,26,0,-.76482165
4517.593923268724,28,0,-.7292338
9481.577365870207,45,.33618313,-.70369232
10836.79397122187,38,.51292646,-.15618388
10688.30344090877,39,1.8786705,-.78943187
7796.033989594099,22,0,-.68659335
11421.0283485014,23,.43258858,-.89910883
3032.57980372316,40,0,-.21762338
2731.933461295022,37,8.5430069,-.57586104
2641.111058103979,22,0,-.86074716
4747.540415156768,23,0,-1.3798118
4949.579080727347,22,0,-.80020624
9796.081734685322,29,0,.086414844
11039.88909958509,28,.57678479,.030211035
3610.294703026034,37,0,-.74257457
4593.997654076017,37,0,-.73755169
12449.21721343192,39,0,-.59730333
6541.723976510689,25,0,-.76004946
9284.021771524727,26,0,-.94574249
2495.831423832128,27,0,-1.6139485
